Store_Name,Longitude,Latitude,Address,Address Line #2,City,State,Zip5,Zip4,County
"M & E Grocery LLC",-73.614372,40.714752,"10 James L L Burrell Ave","","Hempstead","NY","11550","2821","NASSAU" 
"FASTRAC MARKET 256",-76.508469,42.440758,"214 N Meadow St","","Ithaca","NY","14850","4027","TOMPKINS" 
"ALDEN VILLAGE MARKET",-78.494141,42.900215,"13256 Broadway St","","Alden","NY","14004","1325","ERIE" 
"El Panal Deli Grocery Corp",-73.843048,40.914234,"147 W Sidney Ave","","Mount Vernon","NY","10550","1957","WESTCHESTER" 
"BIG TOWN GROCERY",-77.569374,43.165806,"348 Parsells Ave","","Rochester","NY","14609","5209","MONROE" 
"FEEL-RITE HEALTH FOOD SHOPPES",-78.772842,42.829594,"3521 Seneca St","","West Seneca","NY","14224","3437","ERIE" 
"OMEGA DELI CO",-78.697029,43.001381,"8582 Transit Rd","","East Amherst","NY","14051","2607","ERIE" 
"Jimmy Deli & Grocery Inc",-73.857986,40.692554,"8604 Jamaica Ave","","Woodhaven","NY","11421","2042","QUEENS" 
"Grass Roots Farmers Market",-73.943855,40.823673,"W 145th St & Edgecombe Ave","Jackie Robinson Park","New York","NY","10031","","NEW YORK" 
"GLIDE FOOD MARKET",-77.65406,43.155121,"190 Glide St","","Rochester","NY","14611","1540","MONROE" 
"DUANE READE 419",-73.954254,40.730061,"893 Manhattan Ave","","Brooklyn","NY","11222","2227","KINGS" 
"DUANE READE 409",-73.99514,40.739811,"611 6th Ave","","NEW YORK","NY","10011","","NEW YORK" 
"WALGREENS 10912",-73.971603,40.795189,"2575 Broadway","","New York","NY","10025","5657","NEW YORK" 
"WALGREENS 11871",-73.977058,40.747078,"545 3rd Ave","","New York","NY","10016","3501","NEW YORK" 
"WALGREENS 10747",-74.18586,42.959831,"4999 State Highway 30","","Amsterdam","NY","12010","7521","MONTGOMERY" 
"WALGREENS 11716",-77.330589,42.3377,"321 W Washington St","","Bath","NY","14810","1017","STEUBEN" 
"Theresa Family Mart",-75.796936,44.21571,"113 Commercial St","","Theresa","NY","13691","7702","JEFFERSON" 
"Liberty King Produce Inc/C-Town",-73.812187,40.691544,"13416 Liberty Ave","","South Richmond Hill","NY","11419","2353","QUEENS" 
"DD Bakery",-73.906036,40.859039,"58A W 183rd St","","Bronx","NY","10453","1232","BRONX" 
"St James Deli Grocery Inc",-73.898888,40.865662,"2587 Jerome Ave","","Bronx","NY","10468","4341","BRONX" 
"Green Line Deli Inc",-73.923203,40.808594,"224 Willis Ave","","Bronx","NY","10454","4820","BRONX" 
"178-02 Grocery Corp",-73.775642,40.697269,"17802 Sayres Ave","","Jamaica","NY","11433","3514","QUEENS" 
"W & S Dairy Grocery Inc",-73.973595,40.611401,"281 Avenue O","","Brooklyn","NY","11230","6308","KINGS" 
"La Frutica Vegetables & Meat Market T.ST",-73.887268,40.837158,"920B E 174th St","","Bronx","NY","10460","","BRONX" 
"STEWARTS SHOP 324",-74.039902,42.880024,"5246 Amsterdam Rd","","Scotia","NY","12302","6424","SCHENECTADY" 
"HJ Family Food Corp/C-Town",-73.861877,40.839832,"1580 Unionport Rd","","Bronx","NY","10462","6001","BRONX" 
"Middle Store Deli & Grocery Corp.",-73.653259,40.671623,"1194 Woodfield Rd","","Rockville Centre","NY","11570","3325","NASSAU" 
"PORTUGESE LIVE POULTRY MARKET INC",-73.859016,40.758373,"3254 111th St","","East Elmhurst","NY","11369","2528","QUEENS" 
"Barbara Deli Grocery LLC",-73.910027,40.844826,"136 E 174th St","","Bronx","NY","10457","6904","BRONX" 
"315 Finest Food Corp",-73.932816,40.795582,"315 Pleasant Ave","","New York","NY","10035","4416","NEW YORK" 
"1815 Cousins Deli-Grocery Inc",-73.922707,42.82634,"1815 Van Vranken Ave","","Schenectady","NY","12308","1626","SCHENECTADY" 
"Goodfellows Food Mart Inc",-74.629303,41.708946,"5239 Main St","","S Fallsburg","NY","12779","","SULLIVAN" 
"El Gallo Meat Market Inc",-73.952621,40.82151,"538 W 138th St","","New York","NY","10031","","NEW YORK" 
"H And M Deli Grocery Corp",-73.802055,40.674412,"147-18 Rockaway Blvd","","S Ozone Park","NY","11418","","QUEENS" 
"Coney Super Corp",-73.962799,40.612415,"1839 Coney Island Ave","","Brooklyn","NY","11230","6512","KINGS" 
"New King Food",-74.117134,40.634575,"281 Broadway","","Staten Island","NY","10310","2004","RICHMOND" 
"Food Deli Corp",-73.906593,40.66851,"430 Mother Gaston Blvd","Ste 1","Brooklyn","NY","11212","7603","KINGS" 
"207 Alante Alante Deli Grocery Corp.",-73.9058,40.848404,"207 Mount Hope Pl","","Bronx","NY","10457","5403","BRONX" 
"Mr Rooster Live Poultry Inc",-73.948372,40.701775,"366 Wallabout St","","Brooklyn","NY","11206","4323","KINGS" 
"Graciani & Company Inc",-73.858299,40.871254,"1000 Burke Ave","","Bronx","NY","10469","","BRONX" 
"541A Marcy Deli Corp.",-73.949417,40.696568,"541 Marcy Ave","Ste A","Brooklyn","NY","11206","5615","KINGS" 
"DUANE READE 408",-74.000786,40.720741,"459 Broadway","","New York","NY","10013","2510","NEW YORK" 
"Medina Halal Meat & Desi Grocery Inc",-73.894012,40.864857,"239 E Kingsbridge Rd","","Bronx","NY","10458","4411","BRONX" 
"DUANE READE 410",-73.951996,40.695023,"756 Myrtle Ave","","Brooklyn","NY","11206","5511","KINGS" 
"DUANE READE 414",-73.977196,40.779491,"325 Columbus Ave","","New York","NY","10023","","NEW YORK" 
"FOOD EMPORIUM  762",-73.904373,40.905983,"5661 Riverdale Ave","","Bronx","NY","10471","2105","BRONX" 
"Alameda Meat Corp/ DBA KeyFood",-73.971886,41.506176,"268 Main St","","Beacon","NY","12508","2734","DUTCHESS" 
"LIGHTHOUSE POINT GROCERY",-79.4879,42.227329,"5262 W Lake Rd","","Mayville","NY","14757","9603","CHAUTAUQUA" 
"Tompkins County Farmers Market",-76.514954,42.442204,"Dewitt Park","","Ithaca","NY","14850","","TOMPKINS" 
"Paola Deli Grocery Corp",-73.890404,40.858376,"485 E 188th St","","Bronx","NY","10458","5876","BRONX" 
"Alzyadi Deli Corp",-73.946388,40.811367,"2175 7th Ave","","New York","NY","10027","3028","NEW YORK" 
"Niteline Convenience",-73.949684,40.680454,"1289A Fulton St","","Brooklyn","NY","11216","2011","KINGS" 
"RITE AID 2490",-76.129349,43.136135,"114 N Main St","","N Syracuse","NY","13212","2325","ONONDAGA" 
"Amish Manhattan Farmers Market Inc",-73.989212,40.763237,"731 9th Ave","","New York","NY","10019","7246","NEW YORK" 
"775 Mena Grocery Corp",-73.864777,40.854496,"775 Lydig Ave","","Bronx","NY","10462","2144","BRONX" 
"Metro Mini Market NY Inc.",-73.895752,40.712482,"6512 Metropolitan Ave","","Middle Village","NY","11379","1618","QUEENS" 
"RITE AID 10794",-75.523972,42.534073,"82 N Broad St","","Norwich","NY","13815","1332","CHENANGO" 
"GOLDEN FOOD MKT",-73.912895,40.774399,"2256 31st St","","Astoria","NY","11105","2714","QUEENS" 
"PATHMARK 613",-73.862686,40.825916,"1851 Bruckner Blvd","","Bronx","NY","10472","6502","BRONX" 
"Bimbo Bakeries 8692",-73.454033,44.681499,"67 S Peru St","","Plattsburgh","NY","12901","3834","CLINTON" 
"Sun Fish Market Corp",-73.940842,40.679947,"1513 Fulton St","","Brooklyn","NY","11216","2506","KINGS" 
"231 Star Deli Grocery Corp",-73.905952,40.879524,"231 W 231st St","","Bronx","NY","10463","5366","BRONX" 
"El Chungo Grocery Corp",-73.940559,40.695496,"98 Marcus Garvey Blvd","","Brooklyn","NY","11206","6938","KINGS" 
"FASTRAC MARKET 288",-77.646629,43.068653,"4200 W Henrietta Rd","","Rochester","NY","14623","","MONROE" 
"Angelic Grocery Corp",-73.886948,40.67429,"305 Jerome St","","Brooklyn","NY","11207","3834","KINGS" 
"Airport Deli",-73.788742,40.670597,"128-48 150 St","","Jamaica","NY","11436","","QUEENS" 
"Castillo Seafood Inc",-73.886963,40.677242,"2904 Atlantic Ave","","Brooklyn","NY","11207","2700","KINGS" 
"Best Linden Deli Inc",-73.906082,40.70668,"1938 Linden St","","Ridgewood","NY","11385","2338","QUEENS" 
"Moe's Grocery Inc",-73.943649,40.79303,"1968 3rd Ave","Frnt 1","New York","NY","10029","3647","NEW YORK" 
"Aden Supermarket LLC",-73.89518,40.647118,"10404 Flatlands Ave","","Brooklyn","NY","11236","2806","KINGS" 
"Hampshire Express",-78.894997,42.911514,"170 Hampshire St","","Buffalo","NY","14213","2019","ERIE" 
"BAILEY MINI MARKET",-78.814171,42.88813,"1245 Bailey Ave","","Buffalo","NY","14206","1343","ERIE" 
"Martinez Food Center",-73.904518,40.695877,"1001 Wyckoff Ave","","Ridgewood","NY","11385","5354","QUEENS" 
"306A M Meat Market Corp",-73.914253,40.698906,"306 Irving Ave","","Brooklyn","NY","11237","5742","KINGS" 
"Kollel Grocery/Ueir Food - J Rottenberg",-74.597214,41.687489,"176 River Rd","","Woodridge","NY","12789","5730","SULLIVAN" 
"DOLLAR TREE 509",-78.45826,42.077057,"2503 W State St","","Olean","NY","14760","1822","CATTARAUGUS" 
"DOLLAR TREE 1411",-73.945564,42.78466,"1450 Altamont Ave","Ste 1","Schenectady","NY","12303","2967","SCHENECTADY" 
"DOLLAR TREE 1418",-73.670456,43.328934,"751 Upper Glen St","Ste 1","Queensbury","NY","12804","2055","WARREN" 
"DOLLAR TREE 2463",-74.028748,41.522854,"39 N Plank Rd","Ste 1","Newburgh","NY","12550","2117","ORANGE" 
"DOLLAR TREE 2573",-73.980461,41.208057,"15 Samsondale Plz","Route 9W","W Haverstraw","NY","10993","1017","ROCKLAND" 
"DOLLAR TREE 2593",-74.677505,41.651672,"39 Mountain Mall Plz","East Broadway","Monticello","NY","12701","","SULLIVAN" 
"DOLLAR TREE 3095",-73.929947,41.665253,"2585 South Rd","Ste 1","Poughkeepsie","NY","12601","7001","DUTCHESS" 
"DOLLAR TREE 3105",-73.901764,41.295399,"1847 Main St","The Beach Shopping Center","Peekskill","NY","10566","2505","WESTCHESTER" 
"DOLLAR TREE 3482",-73.57077,43.318512,"3736 Burgoyne Ave","Kings Plaza Ste 1","Hudson Falls","NY","12839","1283","WASHINGTON" 
"DOLLAR TREE 3735",-73.917442,41.620968,"1925 South Rd","(Route 9)","Poughkeepsie","NY","12601","6024","DUTCHESS" 
"GULF EXPRESS MART",-78.877182,43.025734,"139 Main St","","North Tonawanda","NY","14120","5309","NIAGARA" 
"Bello Deli Food Corp",-73.917046,40.869186,"5009 Broadway","","New York","NY","10034","1606","NEW YORK" 
"J & B Vegetables Inc",-73.708298,40.73727,"26004 Hillside Ave","","Glen Oaks","NY","11004","1708","QUEENS" 
"Yafai Grocery Store Inc",-73.850517,40.895554,"1769 Pitman Ave","","Bronx","NY","10466","1905","BRONX" 
"SOHO FOOD CORP/MET FOOD",-73.99585,40.723221,"251 Mulberry St","","New York","NY","10012","4104","NEW YORK" 
"Whole Foods Market 10245",-74.011246,40.71537,"270 Greenwich St","","New York","NY","10007","1150","NEW YORK" 
"899 Gourmet Deli Inc",-73.86747,40.665298,"899 Crescent St","","Brooklyn","NY","11208","5515","KINGS" 
"Lakshmi Enterprises",-73.93644,42.807026,"780 Albany St","","Schenectady","NY","12307","1324","SCHENECTADY" 
"Har Nof Grocery Inc",-74.666603,41.681545,"4607 State Route 42","","Kiamesha Lake","NY","12751","","SULLIVAN" 
"REMSEN GENERAL STORE",-75.187492,43.330898,"9696 Main St","","Remsen","NY","13438","","ONEIDA" 
"Echo Drugs Inc",-73.959442,40.708916,"260 Broadway","","Brooklyn","NY","11211","8433","KINGS" 
"Target 2382",-78.205055,43.014759,"4300 Veterans Memorial Dr","","Batavia","NY","14020","1258","GENESEE" 
"DOLLAR TREE 576",-76.192619,43.032791,"4671 Onondaga Blvd","Ste 125","Syracuse","NY","13219","3337","ONONDAGA" 
"DOLLAR TREE 904",-76.804863,42.082584,"299 S Main St","Ste 1","Elmira","NY","14904","1393","CHEMUNG" 
"Sonal Food Corp/Citgo Food",-74.59301,41.794682,"643 Main St","Route 42 & 52","Woodbourne","NY","12788","","SULLIVAN" 
"DOLLAR TREE 935",-77.691666,43.165104,"20 Spencerport Rd","","Rochester","NY","14606","5206","MONROE" 
"Yonkers Corporation",-73.890678,40.933582,"135 Elm St","","Yonkers","NY","10701","3974","WESTCHESTER" 
"DOLLAR TREE 959",-76.511887,42.427391,"131 Fairgrounds Memorial Pkwy","","Ithaca","NY","14850","5362","TOMPKINS" 
"DOLLAR TREE 1299",-75.222145,43.090904,"1100 Mohawk St","Suite 210","Utica","NY","13501","3780","ONEIDA" 
"S Won Provision Inc",-73.891876,40.824406,"1054 Southern Blvd","","Bronx","NY","10459","3469","BRONX" 
"Gava Food Corp/Bravo",-73.914246,40.853897,"127 W Burnside Ave","","Bronx","NY","10453","5039","BRONX" 
"GARFIELD KOLLEL FOOD CORP",-74.169044,41.340401,"8 Garfield Rd","","Monroe","NY","10950","6027","ORANGE" 
"Belka Deli International Food Inc",-73.996803,40.605938,"8319 20th Ave","","Brooklyn","NY","11214","3001","KINGS" 
"Foodtown 582",-73.878822,40.873283,"283 E 204th St","","Bronx","NY","10467","4101","BRONX" 
"Back to Nature Health Foods Inc",-73.918991,40.636272,"1661 Ralph Ave","","Brooklyn","NY","11236","3317","KINGS" 
"F&M Mini Mart Food Corp",-73.925354,40.663376,"1035 Rutland Rd","","Brooklyn","NY","11212","2942","KINGS" 
"Abdo Stop One Deli Inc",-74.015511,40.640133,"5824 5th Ave","","Brooklyn","NY","11220","3820","KINGS" 
"SWEENEY'S MEAT MARKET",-77.366127,42.372799,"7629 CAMPBELL CREEK RD","","KANONA","NY","14856","","STEUBEN" 
"DOLLAR TREE 1401",-75.315781,43.086029,"4583 Commercial Dr","Route 5A","New Hartford","NY","13413","6208","ONEIDA" 
"DOLLAR TREE 1403",-75.209518,43.115395,"32 Auert Ave","","Utica","NY","13502","","ONEIDA" 
"Villas Mexico Corp",-73.990952,40.642895,"3912 Fort Hamilton Pkwy","","Brooklyn","NY","11218","1917","KINGS" 
"Go Go's Deli & Grocery Corp",-74.066666,40.607281,"147 Fingerboard Rd","","Staten Island","NY","10305","3809","RICHMOND" 
"DOLLAR TREE 2578",-76.122658,43.149025,"5701 E Circle Dr","Ste 1","Cicero","NY","13039","7321","ONONDAGA" 
"DOLLAR TREE 2765",-78.963142,43.02206,"2174 Grand Island Blvd","","Grand Island","NY","14072","1820","ERIE" 
"MAN-DELL FOOD STORE / KEY FOOD 634",-73.777245,40.679592,"16602A Baisley Blvd","","Jamaica","NY","11434","2519","QUEENS" 
"145 Four Star Deli Inc",-73.944809,40.824093,"701A Saint Nicholas Ave","","New York","NY","10031","","NEW YORK" 
"BC All American Deli Corp",-73.819626,40.605946,"925 Cross Bay Blvd","","Broad Channel","NY","11693","1125","QUEENS" 
"NICE N  EASY 3994",-75.429237,43.558022,"3033 New York 26","","Constableville","NY","13325","2113","LEWIS" 
"Latienda Deli Corp",-73.854462,40.742306,"5314 108th St","","Corona","NY","11368","3206","QUEENS" 
"Better  & Beyond Food Corp",-73.863678,40.922516,"779 Yonkers Ave","","Yonkers","NY","10704","2028","WESTCHESTER" 
